epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.305669,0.870823,0.168241,0.933007,0.940199,0.924837,0.932455
2,0.00099961,0.228346,0.904645,0.179751,0.931373,0.890533,0.983660,0.934783
3,0.00099846,0.172694,0.931133,0.192124,0.939542,0.968641,0.908497,0.937605
4,0.00099653,0.178724,0.930522,0.118484,0.960784,0.963816,0.957516,0.960656
5,0.00099384,0.156160,0.938060,0.461166,0.813725,0.733010,0.986928,0.841226
6,0.00099039,0.163502,0.934393,0.137768,0.949346,0.917933,0.986928,0.951181
7,0.00098618,0.128454,0.948044,0.211717,0.915033,0.973881,0.852941,0.909408
8,0.00098123,0.129106,0.953545,0.225063,0.882353,0.890000,0.872549,0.881188
9,0.00097553,0.133565,0.951915,0.075850,0.973856,0.961783,0.986928,0.974194
10,0.00096910,0.111215,0.957620,0.071276,0.972222,0.964630,0.980392,0.972447
